id,title,description,category,priority,status,created_at
1,Need help: Keyboard keys not working,Several keys on my keyboard have stopped responding. This is affecting my work.,hardware,medium,resolved,2025-09-02 17:13:40
2,Application crashing,Microsoft Excel crashes every time I open large files.,software,low,open,2025-10-05 17:13:40
3,Browser performance issues,Chrome browser is very slow and unresponsive. Has been happening since yesterday.,software,low,resolved,2025-10-18 17:13:40
4,Software license expired,AutoCAD showing license expired message. Has been happening since yesterday.,software,low,open,2025-09-16 17:13:40
5,Mouse not responding,Wireless mouse is not connecting to my computer. This is affecting my work.,hardware,low,resolved,2025-10-30 17:13:40
6,Monitor display issues,Second monitor is not being detected by my computer.,hardware,low,open,2025-11-18 17:13:40
7,Need help: Data breach concern,"Concerned about potential data breach, unusual activity noticed. Multiple users are reporting this issue.",security,medium,resolved,2025-09-02 17:13:40
8,Application crashing,Microsoft Excel crashes every time I open large files. Multiple users are reporting this issue.,software,low,open,2025-11-16 17:13:40
9,Access permission needed,Need access to the shared drive for marketing team. Please help urgently.,account,low,open,2025-10-28 17:13:40
10,Email account issues,"Cannot access my email account, shows invalid credentials. Has been happening since yesterday.",account,low,resolved,2025-09-02 17:13:40
11,Email client not syncing,Outlook is not syncing my emails properly.,software,low,open,2025-10-24 17:13:40
12,Laptop screen flickering,My laptop screen keeps flickering and going black. Has been happening since yesterday.,hardware,low,in_progress,2025-11-08 17:13:40
13,Data breach concern,"Concerned about potential data breach, unusual activity noticed. Has been happening since yesterday.",security,low,open,2025-10-19 17:13:40
14,Need help: New user account setup,New employee needs account setup for all systems. This is affecting my work.,account,medium,open,2025-10-06 17:13:40
15,Important: VPN not working,VPN connection keeps dropping every few minutes. Has been happening since yesterday.,network,medium,resolved,2025-09-10 17:13:40
16,Email account issues,"Cannot access my email account, shows invalid credentials. Multiple users are reporting this issue.",account,low,in_progress,2025-09-23 17:13:40
17,System down: Printer paper jam,Office printer has a paper jam that I cannot clear. Multiple users are reporting this issue.,hardware,high,resolved,2025-09-19 17:13:40
18,Need help: Slow internet speed,"Internet is extremely slow, pages take forever to load. This is affecting my work.",network,medium,open,2025-10-06 17:13:40
19,Important: VPN not working,VPN connection keeps dropping every few minutes.,network,medium,open,2025-11-04 17:13:40
20,Network printer offline,Network printer is showing offline status.,network,low,resolved,2025-10-13 17:13:40
21,New user account setup,New employee needs account setup for all systems. This is affecting my work.,account,low,in_progress,2025-10-23 17:13:40
22,Account locked out,My account has been locked after multiple login attempts. Please help urgently.,account,low,resolved,2025-10-28 17:13:40
23,Mouse not responding,Wireless mouse is not connecting to my computer. Has been happening since yesterday.,hardware,low,open,2025-10-11 17:13:40
24,Browser performance issues,Chrome browser is very slow and unresponsive. This is affecting my work.,software,low,in_progress,2025-11-01 17:13:40
25,Important: Browser performance issues,Chrome browser is very slow and unresponsive. Multiple users are reporting this issue.,software,medium,open,2025-11-18 17:13:40
26,Software license expired,AutoCAD showing license expired message. This is affecting my work.,software,low,resolved,2025-10-17 17:13:40
27,Access permission needed,Need access to the shared drive for marketing team.,account,low,open,2025-09-13 17:13:40
28,VPN not working,VPN connection keeps dropping every few minutes.,network,low,open,2025-09-17 17:13:40
29,Application crashing,Microsoft Excel crashes every time I open large files. Has been happening since yesterday.,software,low,open,2025-10-08 17:13:40
30,Major issue: Account locked out,My account has been locked after multiple login attempts. Please help urgently.,account,high,open,2025-11-05 17:13:40
31,Browser performance issues,Chrome browser is very slow and unresponsive. Please help urgently.,software,low,in_progress,2025-11-02 17:13:40
32,Network printer offline,Network printer is showing offline status. This is affecting my work.,network,low,in_progress,2025-11-17 17:13:40
33,Important: Malware detected,Antivirus detected malware on my computer. Multiple users are reporting this issue.,security,medium,in_progress,2025-10-31 17:13:40
34,Important: Email account issues,"Cannot access my email account, shows invalid credentials.",account,medium,in_progress,2025-10-31 17:13:40
35,CRITICAL: VPN not working,VPN connection keeps dropping every few minutes. This is affecting my work.,network,high,in_progress,2025-09-06 17:13:40
36,Data breach concern,"Concerned about potential data breach, unusual activity noticed. Multiple users are reporting this issue.",security,low,open,2025-11-06 17:13:40
37,Data breach concern,"Concerned about potential data breach, unusual activity noticed. Has been happening since yesterday.",security,low,open,2025-11-12 17:13:40
38,Need help: Printer paper jam,Office printer has a paper jam that I cannot clear. This is affecting my work.,hardware,medium,open,2025-09-04 17:13:40
39,Important: Malware detected,Antivirus detected malware on my computer. Has been happening since yesterday.,security,medium,open,2025-10-03 17:13:40
40,New user account setup,New employee needs account setup for all systems. This is affecting my work.,account,low,open,2025-11-11 17:13:40
41,Laptop screen flickering,My laptop screen keeps flickering and going black. Multiple users are reporting this issue.,hardware,low,in_progress,2025-10-26 17:13:40
42,Unauthorized access attempt,Multiple failed login attempts on my account from unknown location. Please help urgently.,security,low,in_progress,2025-11-16 17:13:40
43,New user account setup,New employee needs account setup for all systems.,account,low,open,2025-10-09 17:13:40
44,High priority: Email account issues,"Cannot access my email account, shows invalid credentials. Has been happening since yesterday.",account,medium,open,2025-09-15 17:13:40
45,Data breach concern,"Concerned about potential data breach, unusual activity noticed.",security,low,open,2025-09-21 17:13:40
46,Access permission needed,Need access to the shared drive for marketing team.,account,low,open,2025-08-26 17:13:40
47,Software license expired,AutoCAD showing license expired message. This is affecting my work.,software,low,open,2025-09-09 17:13:40
48,New user account setup,New employee needs account setup for all systems. Please help urgently.,account,low,open,2025-10-24 17:13:40
49,Network printer offline,Network printer is showing offline status. Multiple users are reporting this issue.,network,low,open,2025-09-18 17:13:40
50,WiFi connection problems,Cannot connect to WiFi in conference room B. Multiple users are reporting this issue.,network,low,open,2025-10-19 17:13:40
51,Data breach concern,"Concerned about potential data breach, unusual activity noticed. Multiple users are reporting this issue.",security,low,open,2025-11-01 17:13:40
52,Data breach concern,"Concerned about potential data breach, unusual activity noticed.",security,low,in_progress,2025-08-24 17:13:40
53,Malware detected,Antivirus detected malware on my computer. This is affecting my work.,security,low,open,2025-08-31 17:13:40
54,Suspicious email received,Received a phishing email claiming to be from IT.,security,low,in_progress,2025-09-22 17:13:40
55,Slow internet speed,"Internet is extremely slow, pages take forever to load. This is affecting my work.",network,low,open,2025-10-18 17:13:40
56,High priority: Monitor display issues,Second monitor is not being detected by my computer. Please help urgently.,hardware,medium,resolved,2025-10-23 17:13:40
57,System down: New user account setup,New employee needs account setup for all systems.,account,high,open,2025-10-18 17:13:40
58,Browser performance issues,Chrome browser is very slow and unresponsive. Multiple users are reporting this issue.,software,low,in_progress,2025-10-06 17:13:40
59,CRITICAL: Email account issues,"Cannot access my email account, shows invalid credentials. Please help urgently.",account,high,in_progress,2025-09-29 17:13:40
60,Keyboard keys not working,Several keys on my keyboard have stopped responding. Has been happening since yesterday.,hardware,low,resolved,2025-10-23 17:13:40
61,EMERGENCY: Monitor display issues,Second monitor is not being detected by my computer. Please help urgently.,hardware,high,resolved,2025-10-21 17:13:40
62,Printer paper jam,Office printer has a paper jam that I cannot clear. Has been happening since yesterday.,hardware,low,in_progress,2025-09-02 17:13:40
63,Important: Slow internet speed,"Internet is extremely slow, pages take forever to load. Please help urgently.",network,medium,resolved,2025-09-28 17:13:40
64,Suspicious email received,Received a phishing email claiming to be from IT. Multiple users are reporting this issue.,security,low,in_progress,2025-10-23 17:13:40
65,High priority: Laptop screen flickering,My laptop screen keeps flickering and going black. Has been happening since yesterday.,hardware,medium,open,2025-08-29 17:13:40
66,High priority: Account locked out,My account has been locked after multiple login attempts. Has been happening since yesterday.,account,medium,resolved,2025-09-10 17:13:40
67,Application crashing,Microsoft Excel crashes every time I open large files. Has been happening since yesterday.,software,low,open,2025-10-06 17:13:40
68,EMERGENCY: Monitor display issues,Second monitor is not being detected by my computer. Has been happening since yesterday.,hardware,high,resolved,2025-09-25 17:13:40
69,Email client not syncing,Outlook is not syncing my emails properly.,software,low,open,2025-09-25 17:13:40
70,Malware detected,Antivirus detected malware on my computer. Multiple users are reporting this issue.,security,low,open,2025-10-18 17:13:40
71,EMERGENCY: Email client not syncing,Outlook is not syncing my emails properly. This is affecting my work.,software,high,resolved,2025-10-01 17:13:40
72,URGENT: Keyboard keys not working,Several keys on my keyboard have stopped responding.,hardware,high,open,2025-09-16 17:13:40
73,High priority: Laptop screen flickering,My laptop screen keeps flickering and going black. Please help urgently.,hardware,medium,in_progress,2025-11-16 17:13:40
74,High priority: Laptop screen flickering,My laptop screen keeps flickering and going black. This is affecting my work.,hardware,medium,open,2025-10-21 17:13:40
75,Important: Keyboard keys not working,Several keys on my keyboard have stopped responding. Has been happening since yesterday.,hardware,medium,resolved,2025-08-26 17:13:40
76,Need help: New user account setup,New employee needs account setup for all systems. This is affecting my work.,account,medium,in_progress,2025-11-13 17:13:40
77,Email client not syncing,Outlook is not syncing my emails properly. Please help urgently.,software,low,open,2025-11-01 17:13:40
